,id,publishTime,duration_seconds,viewCount,likeCount,contrast,hue,saturation,brightness
49,z3-Tm_aS3N0,2019-06-18 07:00:05+00:00,188,196878254,335607,58.888,110,123,0
50,gHNxsvI-NhI,2020-12-29 08:00:08+00:00,166,17499381,62320,53.892,170,114,0
51,TOTd78ZTDGE,2018-11-13 08:00:02+00:00,178,222752210,517063,64.256,122,170,0
52,dmmNlxbY3gQ,2021-09-14 07:25:49+00:00,166,31109415,171253,62.452,157,99,0
53,vbQRDB5kr1U,2021-10-26 07:00:12+00:00,196,15240739,100299,59.692,77,132,0
54,R2-wrPJH-Pw,2021-11-16 09:00:24+00:00,200,33499425,155976,64.039,214,111,0
55,GDMel6oO2fU,2018-03-13 07:00:00+00:00,210,1104599187,4001058,53.055,154,124,0
56,N2HksaZo7uI,2021-10-12 07:00:05+00:00,188,16230055,92488,54.07,156,120,0
57,3kmmwPaNqyE,2020-12-01 08:00:00+00:00,230,28284585,139198,69.488,118,109,0
58,xEJceUPDhh4,2017-01-06 08:00:03+00:00,131,423293772,1289755,55.871,181,134,0
59,QB37KhyEIOw,2020-08-18 07:00:04+00:00,173,97665755,235101,67.008,184,88,0
60,nlVCrUXEFwo,2020-06-30 07:00:16+00:00,241,117454212,396208,57.774,130,126,0
61,8hJS1Hz3m5w,2021-10-19 07:00:01+00:00,183,15664979,90852,65.86,131,124,0
62,tH1M7hhjTHc,2021-06-01 07:30:05+00:00,228,14085953,52708,57.71,80,130,0
63,oLnd4G7dsHg,2020-08-25 07:00:23+00:00,179,284399699,1260578,55.359,164,112,0
64,WNBJA-xDSXk,2021-11-02 08:00:08+00:00,195,14666869,81960,64.186,126,132,0
65,0M-GSInviK8,2021-08-19 08:00:00+00:00,164,36916760,114592,48.962,173,96,0
66,ziXqzFbhs4k,2020-04-21 07:00:30+00:00,163,188158292,364226,58.99,159,111,0
67,wSSlwtED2Yg,2018-01-16 08:00:02+00:00,238,454013115,1385188,53.958,173,113,0
68,RPnx_sahIcc,2019-04-16 07:00:01+00:00,189,147508071,227213,67.073,113,114,0
69,LbHnkpecXFU,2021-08-05 07:00:08+00:00,182,12248261,52675,62.509,124,127,0
70,nAP3yilxmdY,2017-11-01 07:00:02+00:00,263,823982798,2371187,64.503,188,116,0
71,cghkM_ohBW4,2017-11-29 08:00:02+00:00,245,87769215,190191,55.208,180,121,0
72,PXWjuJUf070,2020-11-17 08:00:04+00:00,190,74146968,274496,56.177,149,113,0
73,Z8D6wImU7N0,2015-08-31 15:00:02+00:00,174,110117247,135444,66.43,147,104,0
74,dmqdzXZoqCI,2020-09-15 07:00:06+00:00,192,52422070,168121,57.707,116,79,0
75,dgLs66FE32A,2021-06-22 08:35:50+00:00,191,50874636,175482,51.91,112,87,0
76,7_iqs7rfXVY,2021-12-14 08:00:02+00:00,176,11002237,68896,61.163,134,115,0
77,TEd3l51mGcU,2021-07-27 07:05:33+00:00,177,9846231,40165,67.148,193,136,0
78,QJ01SAMlqDc,2019-10-01 07:00:04+00:00,201,84797265,190567,55.065,117,114,0
79,9bGRfBlscFw,2021-04-20 07:00:05+00:00,183,6346552,28288,50.223,157,117,0
80,KXX7QSz7X6I,2021-11-30 08:00:04+00:00,193,33378743,184773,59.5,176,88,0
81,2s7cz6p7jew,2017-06-23 07:00:01+00:00,396,261083505,927185,51.782,146,105,0
82,7_k7KBKfiPU,2021-09-02 07:00:05+00:00,179,13780290,70749,64.305,156,112,0
83,TJmTHuuYx3k,2018-11-20 08:00:04+00:00,229,908901135,3166428,67.524,153,142,0
84,wqIiTI0ft5k,2021-08-10 07:00:30+00:00,190,11589302,56897,58.412,152,114,0
85,sqApA2OpH_Q,2021-06-29 07:00:10+00:00,188,41875739,212064,66.995,84,130,0
86,BD9LoGgwIGE,2021-10-05 07:00:02+00:00,184,27792467,161728,61.824,88,143,0
87,2_lBrtORFd0,2021-05-25 07:00:01+00:00,194,147778748,720048,65.881,134,131,0
88,qIsM7qScR4U,2020-01-07 08:00:09+00:00,183,58669473,228705,55.842,152,118,0
89,HL5GUuK49Ag,2019-05-07 07:00:00+00:00,194,106179415,266392,56.409,152,111,0
90,U614jplvLSQ,2021-07-20 07:18:42+00:00,194,14440874,51737,56.036,145,96,0
91,JsYNOYxiJzw,2021-07-06 07:12:51+00:00,183,8488969,37033,62.78,113,127,0
92,P0XyhsoFiHQ,2017-02-24 08:00:03+00:00,148,67272892,119468,60.232,214,98,0
93,Z75Hsp-2zaw,2018-12-24 08:00:08+00:00,180,398178532,700664,60.66,204,98,0
94,JHHYXN52oUo,2020-07-21 07:00:05+00:00,232,86088711,212645,55.798,156,109,0
95,Co3xMdSJ-j4,2021-01-19 08:00:02+00:00,217,24069474,54015,65.323,170,112,0
96,h5EOvWV1uQo,2021-07-13 07:00:10+00:00,200,15335497,66997,66.089,163,106,0
97,x5wQ_sL9SRc,2019-07-23 07:00:05+00:00,187,89787806,228011,57.774,111,131,0
98,0eEkWvekQiE,2018-11-27 08:00:01+00:00,205,532126704,2091390,49.411,146,122,0
99,P-QMwp9RkVs,2021-12-07 09:00:02+00:00,291,17257763,146018,60.4,140,154,0
100,dFm-5AxgwEE,2021-03-30 07:00:06+00:00,180,81604601,383003,68.43,141,101,0
101,9YzG5nVc6sg,2021-07-29 07:02:08+00:00,187,40906935,186094,62.035,132,126,0
102,kuA-NCM5xL4,2019-12-24 08:00:08+00:00,192,117758810,239987,51.978,175,125,0
103,GdX7q_nk2Sk,2020-02-18 08:00:02+00:00,231,210868144,403677,65.627,75,116,0
104,Aj7FrvupKWE,2020-07-28 07:00:01+00:00,234,36446210,158838,57.775,170,134,0
105,MaHWFODvtfU,2016-05-04 07:00:01+00:00,126,267324492,662340,57.965,178,124,0
106,RiVfCDDpoxc,2020-11-24 08:00:10+00:00,175,188776638,679471,51.223,194,120,0
107,J9dp8iC4EYc,2016-05-02 07:00:01+00:00,126,81274205,267168,66.237,187,149,0
108,g6N5V6v50iA,2017-06-30 07:00:06+00:00,334,489792897,1099173,56.043,165,117,0
109,w98l2EFR6dE,2019-02-12 08:00:04+00:00,166,443587856,1628173,55.578,146,137,0
110,WbqzhZTQXvM,2017-06-02 07:00:01+00:00,499,195578458,680916,65.378,171,114,0
111,suQ69K5CdFo,2020-09-29 07:00:15+00:00,177,44926576,125027,67.043,54,140,0
112,yFblyF33omI,2020-04-28 07:00:31+00:00,147,39489289,93661,57.811,188,101,0
113,bwFsnemlvBo,2021-09-28 07:00:23+00:00,675,29329821,193980,56.429,139,135,0
114,2hDKKZrVKm4,2017-08-22 07:00:00+00:00,460,257975007,639484,59.077,122,87,0
115,xDYLVSEjRpM,2021-02-16 10:17:55+00:00,207,38015230,84438,58.188,175,84,0
116,7v9uUE4B3fo,2014-11-13 18:21:47+00:00,302,204818668,679006,59.109,123,135,0
117,nPeXQaBbN8E,2019-12-22 08:00:06+00:00,1031,183466515,477977,67.761,142,116,0
118,j4XZ8Oojt-w,2017-06-16 07:00:01+00:00,411,228593952,727924,51.947,205,119,0
119,MIE2OPEHYLE,2016-05-18 07:00:00+00:00,638,70478865,172918,45.611,137,130,0
120,Sjwl23rk6Tg,2017-07-12 07:00:02+00:00,465,1459128554,3849907,54.748,174,72,0
121,dBY018GxHos,2016-11-04 07:00:02+00:00,200,32168355,61133,50.734,144,150,0
122,75ENi5QC-vM,2015-02-14 02:03:43+00:00,506,135107533,314654,71.442,168,119,0
123,UcWc_0Dt01c,2018-12-22 08:00:02+00:00,1886,299071694,901082,65.554,173,119,0
124,Tietq09bHzY,2020-11-27 08:00:08+00:00,2194,35494262,149949,60.71,151,110,0
125,UyNFg0Utx_M,2015-10-16 13:00:01+00:00,135,63294790,142767,61.588,208,107,0
126,3tvnA1IkNAg,2019-10-29 07:00:00+00:00,2039,84327634,300049,68.507,118,109,0
127,a90Sbo7v89o,2019-08-30 07:00:00+00:00,1825,180508642,722188,66.784,96,118,0
128,hbPmRCGsh7g,2021-11-13 08:00:03+00:00,2315,21599819,96182,62.139,146,129,0
129,UgsiSTgUftw,2021-11-06 08:00:16+00:00,2218,35822295,175349,64.156,126,147,0
