Regiões,Especie,2010_hec_k,2010_%,2015_hec_k,2015_%
ALGARVE,Pinheiro0bravo,4.42,3.105895580071675,4.77,3.3
ALGARVE,Eucaliptos,29.13,20.469397793549295,29.03,20.0
ALGARVE,Sobreiro,31.84,22.373691237439395,34.99,24.1
ALGARVE,Azinheira,9.43,6.626379031691379,8.75,6.0
ALGARVE,Carvalhos,0.05,0.03513456538542619,0.05,0.0
ALGARVE,Pinheiro0manso,40.99,28.803316702972392,40.36,27.8
ALGARVE,Castanheiro,0.0,0.0,0.0,0.0
ALGARVE,Alfarrobeira,11.55,8.11608460403345,16.01,11.0
ALGARVE,Acácias,0.1,0.07026913077085238,0.1,0.1
ALGARVE,Outras folhosas,14.45,10.153889396388168,10.9,7.5
ALGARVE,Outras resinosas,0.28,0.19675356615838666,0.23,0.2
ALGARVE,STD s/espécie*,0.07,0.049188391539596664,0.1,0.1
ALGARVE,total,142.3,99.99297308692294,145.28,100.0
